,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,8195796777945992.0,,4489804799897959.0,
1,0.5,8195821251187430.0,,4489824402240853.0,
2,1.0,8195975235799495.0,434401797.91758686,4489932485354412.0,434401797.9175868
3,1.5,8196366135696002.0,1483545937.2085395,4490196262018458.0,1413551963.0532036
4,2.0,8196972989676607.0,3341476403.3711996,4490599157077078.0,2873810221.116198
5,2.5,8197690110522284.0,5392680753.446626,4491051515862127.0,4402577888.463808
6,3.0,8198256360083678.0,6762884531.0508375,4491354965159586.5,5243298929.478393
7,3.5,8198658776969628.0,7598825240.717307,4491532255734918.0,5698582548.230181
8,4.0,8199003407076114.0,8320026410.943895,4491687498274161.5,6187992102.847727
9,4.5,8199282044098774.0,8852657986.924263,4491807905257200.5,6364251492.145882
10,5.0,8199504173813754.0,9211136358.81482,4491892585040821.5,6355444923.5997925
11,5.5,8199701615939353.0,9522770432.386599,4491969865682694.0,6337073254.278587
12,6.0,8199878884775144.0,9756094915.526041,4492044443101668.0,6294499488.058628
13,6.5,8200036858983978.0,9964130660.619043,4492115966774556.0,6246892347.22011
14,7.0,8200184274875904.0,10156001101.807678,4492189963820693.5,6225517775.191458
15,7.5,8200327708268980.0,10341630461.783424,4492268953598579.0,6217006224.8638115
16,8.0,8200468391224096.0,10592272690.30499,4492351500104873.0,6282966673.323467
17,8.5,8200603985024550.0,10795375009.43179,4492433041813838.0,6311022147.490303
18,9.0,8200734089989144.0,11003421574.477877,4492510987393529.0,6362444654.904388
