,day,CS1,CS2,CS3,CS3sb,CS4,CS5,AS1,AS2,LID1,LID2
0,0.5,-0.25040704011917114,-0.6656458377838135,5.993734359741211,0.6562764644622803,-4.584729194641113,-0.22279715538024902,31.531112670898438,37.714393615722656,0.1037825271487236,0.5342862010002136
1,1.0,2.352367877960205,1.8084466457366943,33.59136199951172,7.927097320556641,-28.15241813659668,1.4750573635101318,204.5352783203125,241.1013946533203,1.332500696182251,1.8940496444702148
2,1.5,6.250764846801758,5.946006774902344,82.07164001464844,42.125972747802734,-74.5865478515625,6.440749645233154,473.708984375,582.082763671875,4.368922233581543,3.0720317363739014
3,2.0,10.15969467163086,14.361576080322266,148.4257354736328,126.75922393798828,-151.37466430664062,11.678409576416016,710.9612426757812,930.8692016601562,6.832610130310059,4.82119607925415
4,2.5,15.456575393676758,38.165809631347656,210.63784790039062,198.90670776367188,-232.10348510742188,17.04833221435547,897.504638671875,1201.976806640625,4.6113057136535645,8.339879989624023
5,3.0,20.05160140991211,50.80377197265625,161.50953674316406,204.4260711669922,-212.87098693847656,22.480560302734375,938.212890625,1191.7066650390625,0.24048414826393127,5.94783878326416
6,3.5,19.267513275146484,20.312957763671875,116.18568420410156,196.12258911132812,-140.95602416992188,21.317211151123047,858.4785766601562,1028.865966796875,-1.7464104890823364,3.589458465576172
7,4.0,11.968730926513672,4.5717549324035645,124.89672088623047,196.9453582763672,-97.39517211914062,13.633647918701172,775.70263671875,905.3353271484375,-1.1210196018218994,3.005793571472168
8,4.5,4.337980270385742,29.781009674072266,100.55267333984375,167.0561981201172,-85.27342987060547,5.87985372543335,738.5352172851562,838.2276611328125,-0.8349807262420654,2.1886074542999268
9,5.0,7.038032531738281,37.60671615600586,70.73308563232422,120.99744415283203,-75.9468994140625,2.5144879817962646,726.5181274414062,792.4615478515625,-0.7750983238220215,1.339444875717163
10,5.5,11.847134590148926,18.733505249023438,61.80427169799805,102.83737182617188,-66.97813415527344,4.2360405921936035,704.5771484375,755.4039306640625,-0.41299378871917725,0.9911395907402039
11,6.0,12.80544662475586,3.1573257446289062,58.91767501831055,103.06624603271484,-58.89484405517578,5.864363193511963,681.7607421875,731.10498046875,-0.26277434825897217,0.7850629091262817
12,6.5,8.976211547851562,6.371555328369141,54.74251174926758,96.35043334960938,-51.89398956298828,7.489716053009033,672.945068359375,715.4059448242188,-0.28029948472976685,0.5500179529190063
13,7.0,4.505745887756348,16.761781692504883,51.57923126220703,89.20869445800781,-49.210060119628906,6.0559000968933105,670.902587890625,707.0004272460938,-0.1826024353504181,0.41709184646606445
14,7.5,3.5956084728240967,21.069297790527344,51.07636260986328,89.24235534667969,-51.208152770996094,2.628030300140381,668.880615234375,706.4544067382812,-0.04865281283855438,0.4657367467880249
15,8.0,5.776741981506348,20.006872177124023,50.72223663330078,93.24767303466797,-56.81534194946289,0.891769289970398,666.0159301757812,710.3740234375,0.05581139028072357,0.5452370643615723
16,8.5,7.593158721923828,19.680673599243164,47.650611877441406,93.79695129394531,-61.30734634399414,0.9766432642936707,665.3070068359375,713.8239135742188,0.09483273327350616,0.5235880017280579
17,9.0,7.959554195404053,20.215133666992188,44.079376220703125,89.4176025390625,-61.9080696105957,1.6219775676727295,667.2564697265625,714.471435546875,0.10362619906663895,0.45170915126800537
