,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,4409628606271256.5,,2423943238128469.0,
1,0.5,4411109261712348.0,191377042.7007054,2425093411774079.0,191377042.7007054
2,1.0,4419442616552065.0,567538085.4726233,2430823144553861.0,567538085.4726233
3,1.5,4440057206067948.0,1559308179.8024573,2444136484440208.0,1446378493.1607392
4,2.0,4470402042740352.0,3075263362.4492493,2462974981094981.0,2664043015.727384
5,2.5,4505194130975297.0,4556918881.2245655,2483061695496645.0,3751084648.596858
6,3.0,4534260023026500.0,5183538092.406269,2498047896401912.0,4090989623.938689
7,3.5,4556455203292414.0,5423720446.673538,2508327798809067.5,4151668155.0682383
8,4.0,4575340455261125.0,5665536010.1885605,2516984431638005.5,4317362466.80378
9,4.5,4590910302979826.0,5896625296.228401,2523753586232822.0,4497670152.107685
10,5.0,4603826262235372.0,5930049169.804478,2528790185214378.0,4548601113.321215
11,5.5,4615395778268986.0,5985650185.554352,2533391859717637.5,4502755285.426594
12,6.0,4625901614464158.0,6037153895.197485,2537938807819141.5,4429492164.961389
13,6.5,4635449288220890.0,6088474704.072953,2542448063008076.0,4337260568.229929
14,7.0,4644394420017490.0,6099274197.491892,2547085111529546.0,4256607846.9015203
15,7.5,4653003769313755.0,6139265230.365602,2551905378178327.0,4202637075.69042
16,8.0,4661343953301192.0,6226875997.3757305,2556857182298210.0,4213590729.1386256
17,8.5,4669362177164824.0,6303073729.111736,2561768546775055.0,4225772713.987741
18,9.0,4677067352629808.0,6373490801.177265,2566513986985186.0,4236282269.0836515
