,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805420432782652.2,,76647103441649.19,
1,0.5,805676775834571.8,,76649716249900.28,
2,1.0,807891212596617.0,,76685427308979.94,
3,1.5,813823818661102.0,,76786224966545.5,
4,2.0,823207631094899.1,132942342.97362217,76965431117715.92,21313861.088938978
5,2.5,835081869530933.5,428000610.75749236,77236643163422.52,80514966.38012248
6,3.0,846468996994239.1,762490950.9207894,77606254580999.38,92262568.12223399
7,3.5,855254872459450.6,541348944.4886526,78060208117108.52,92262568.12223399
8,4.0,862054398985233.2,418451443.784161,78548598207440.9,65340407.03550959
9,4.5,867468939238079.6,240608355.40724614,79030461494899.6,30569831.301627975
10,5.0,871920264757369.0,79123759.9655752,79486782411316.56,8882412.399023285
11,5.5,875701286809589.2,,79913149152712.28,
12,6.0,879005642958247.0,,80310191751002.69,
13,6.5,881964272764020.9,,80681033652312.3,
14,7.0,884667304347718.8,,81028988673986.06,
15,7.5,887175857431589.0,,81357654122566.02,
16,8.0,889532897476802.1,,81670218726905.9,
17,8.5,891768600565828.8,,81968688633603.86,
18,9.0,893905327387585.9,,82254515630602.3,
