,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,2217472281407518.8,,230655144621512.25,
1,0.5,2217963603802150.5,,231484004079558.62,
2,1.0,2221893632945198.2,0.0,235882742985258.22,406786447.71817577
3,1.5,2234521043611758.0,86964262.49386692,247287892423084.12,1380696200.5783224
4,2.0,2260266837099483.5,970582268.2868295,264760442447167.56,2471643103.989863
5,2.5,2302224992714748.5,2943879587.211248,276294872469903.38,2853712365.4667706
6,3.0,2343920884681169.0,4843118397.073532,272192104333957.8,2678221488.036692
7,3.5,2371863306204443.0,6128217484.998707,267124959001869.9,2531901300.442629
8,4.0,2390915911350250.5,6954411045.911501,268049959805377.88,2605083990.053446
9,4.5,2404975989087603.0,7568038704.790497,269542827886548.06,2676541471.460707
10,5.0,2416294349677345.0,7967371890.303858,269551775780428.94,2671271944.164484
11,5.5,2425734514378892.0,8383079438.6986065,270151272155174.94,2698893872.965471
12,6.0,2433971489743385.0,8696841858.745087,270827126852818.28,2728581390.5134597
13,6.5,2441449831954340.0,8978989640.537666,271003994245428.7,2733199648.7510443
14,7.0,2448315089170346.5,9250657480.221268,271306584045237.7,2751240141.197774
15,7.5,2454771738205380.0,9476127878.579002,272147778501448.88,2796218674.764282
16,8.0,2460983627002271.5,9673178607.820967,273429362740250.28,2859423056.413954
17,8.5,2467018694892312.5,9861564136.040203,274728398245385.44,2924124857.9233446
18,9.0,2472947180567120.5,10079934105.82471,275853234033153.5,2972242693.3418455
