,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,896026357252587.5,16351643.120459631,493917427707311.9,16351643.12045963
2,1.0,899405051032441.2,497565832.663402,496305287217378.8,497565832.663402
3,1.5,907884033101074.5,1622190143.097541,502050672204245.5,1550596162.8904023
4,2.0,920970120474364.5,3571145932.9588413,510742247772190.75,3098061077.5647507
5,2.5,936473529411428.8,5687776724.976881,520546975462932.1,4703892100.654495
6,3.0,948808525040222.8,7170678921.102627,527247487431052.75,5634913955.407156
7,3.5,957553113204304.2,8180514193.242227,531176501624799.1,6227959541.483478
8,4.0,964970423037258.5,8932420838.736347,534507881708754.5,6640122716.641574
9,4.5,970978402021421.2,9569885953.128796,537091999546231.75,6803720005.725517
10,5.0,975757957351994.9,9995779666.887682,538921274231131.8,6834365856.440819
11,5.5,979975721083772.2,10282024167.732609,540582248624061.8,6813584997.3519535
12,6.0,983761023975891.5,10571983651.487244,542191912341425.25,6771534046.283557
13,6.5,987136009199813.9,10815824960.762928,543732659572021.4,6756848656.261172
14,7.0,990273554622491.4,11037997126.374798,545308283015968.0,6735328184.952641
15,7.5,993314128091620.8,11295285566.67469,546976176165378.5,6737083129.886761
16,8.0,996292589296365.0,11507369341.186749,548713007123813.25,6753095085.330542
17,8.5,999165648106640.0,11729757570.688583,550431275372536.0,6792996641.074191
18,9.0,1001925880621406.5,11969696959.374687,552079916004136.4,6852210801.30652
