,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,882067536224301.5,,480065076429223.4,
1,0.5,882354028724404.1,,480216819107304.4,
2,1.0,884665060799889.0,,481462571408944.94,
3,1.5,890913889262853.6,141243792.55763665,484826363246042.94,69257455.9673579
4,2.0,900859128524737.0,993595175.5026257,490182184899726.5,513888652.86211646
5,2.5,913520543015025.0,2110758421.1637683,497011085320313.94,1133401004.1832256
6,3.0,925801574062017.8,3231428842.613154,503655478702475.4,1721064829.0812082
7,3.5,935470225027576.5,3820643158.5976877,508907035248757.7,1998087104.3147888
8,4.0,943119990315990.8,4350299028.059274,513075397214352.6,2322295351.347932
9,4.5,949337848353663.8,4645749206.992725,516470444027225.1,2468932822.6683702
10,5.0,954544836534587.5,4759162592.131952,519318183746158.25,2549758392.002056
11,5.5,959041888944749.0,4815031397.452034,521781735979402.0,2586918456.4580545
12,6.0,963033446004747.0,4895957468.013505,523970453201748.5,2632185818.9580107
13,6.5,966660110344573.8,4914487980.032575,525960440357129.8,2651228444.4712205
14,7.0,970020178656921.1,4972075641.419964,527805462075187.9,2671156947.793499
15,7.5,973181336749706.0,4997440093.079424,529541894520331.75,2674397429.3721027
16,8.0,976191193922583.0,5036601030.348837,531194477092272.3,2684897603.3793554
17,8.5,979083060488197.2,5054102293.935619,532779677182312.4,2704215254.464109
18,9.0,981880634041569.0,5076740417.147684,534309192471721.4,2739339054.8335114
