,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,896119527117274.8,,493994564263921.75,
2,1.0,899593051338991.0,401625164.28897923,496458444029888.9,401625164.2889792
3,1.5,908010749383450.4,1306654123.6539488,502194139554406.9,1306654123.6539488
4,2.0,920850826531066.8,2558840491.0792875,510783071837622.3,2478791696.7589397
5,2.5,935967415334839.2,3781655954.1780148,520360732634866.1,3528949539.1850843
6,3.0,947931064117520.0,4106821067.498665,526683424510887.0,3735807737.8298206
7,3.5,956485692903473.6,3827643657.484547,530325426779076.0,3483907334.9298153
8,4.0,963770147891431.5,3482482670.9155655,533385481002254.1,3235644048.639726
9,4.5,969697489368698.9,3058806362.2571793,535729062108452.4,2905314169.0209866
10,5.0,974491649363066.0,2595021357.6641736,537383455855061.25,2547605609.314726
11,5.5,978757855828602.5,2279079439.792178,538898574436179.3,2263463572.333088
12,6.0,982612267413430.1,2077431478.1949992,540404587488023.4,2067248328.6242306
13,6.5,986089492648336.8,1930545163.898449,541925492203971.0,1927759853.8679996
14,7.0,989334311356455.2,1813071030.6294932,543540803415288.44,1808711154.8778768
15,7.5,992467660045290.5,1731783988.3180728,545274819129827.3,1728536654.1984081
16,8.0,995524007350980.5,1692938711.8534093,547083682139813.4,1692938711.8534093
17,8.5,998467391427472.4,1671101402.8402076,548870461354207.5,1671101402.8402076
18,9.0,1001290206424750.1,1648009624.4532363,550593121879365.1,1648009624.4532366
