,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,8131629878608714.0,,4425637900560680.0,
1,0.5,8131643443553263.0,,4425645081557965.0,
2,1.0,8131751186617983.0,,4425703160027587.5,
3,1.5,8132042805070907.0,157951298.58252147,4425860149519138.5,85964961.99224272
4,2.0,8132507105363251.0,1122711263.4200535,4426110194388113.5,581125871.9250491
5,2.5,8133098132763418.0,2288641645.0895834,4426428929172871.0,1208139239.8966165
6,3.0,8133671582473557.0,3401203832.733767,4426739124260026.0,1839019333.01506
7,3.5,8134122939822958.0,4421941541.833515,4426984206143819.5,2377624415.7889733
8,4.0,8134479960862460.0,5015899067.988339,4427178662618948.0,2656859672.061269
9,4.5,8134770105007401.0,5532803460.66979,4427336992338552.0,2951290461.29503
10,5.0,8135013064283614.0,5743982555.2475395,4427469770094467.0,3104886757.9175587
11,5.5,8135222899559668.0,6103596038.603717,4427584616568510.5,3233098614.3450365
12,6.0,8135409192778357.0,6419168412.482798,4427686657472949.0,3417249927.279194
13,6.5,8135578534183246.0,6707540739.473951,4427779456435928.5,3594425492.4575934
14,7.0,8135735548421446.0,6808797947.47673,4427865538885020.5,3679903429.781266
15,7.5,8135883401476764.0,7026749674.823505,4427946608497822.0,3776464108.3590994
16,8.0,8136024320996562.0,7230693327.951454,4428023831244917.0,3884486093.997779
17,8.5,8136159871970588.0,7406356709.928196,4428097993728106.5,3994028846.831419
18,9.0,8136291153233666.0,7521299534.972351,4428169643802936.0,4078496448.998108
