,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805805832656153.8,,90205129865714.22,
2,1.0,807916286169215.0,5.960464477539063e-08,91641895503329.3,428054426.0559201
3,1.5,814112018459962.5,1813641.874295473,94088764758177.06,1359078450.1271958
4,2.0,825209165601437.2,427163394.96394396,96239190346073.05,2379802568.11551
5,2.5,840462589242839.2,1575931381.9429708,96699596346597.0,2737991309.6467814
6,3.0,854741974540901.9,2405608062.6036863,95144112078590.33,2545998396.560644
7,3.5,865144162387812.8,2472613856.8319993,94108336423448.55,2394982758.743076
8,4.0,872958849103838.2,2143288922.0498147,94430337613543.56,2461166038.6706967
9,4.5,879258988518449.9,1700584899.1066327,94943797451230.84,2514742362.7488384
10,5.0,884658507692467.6,1365306171.50628,95210027034885.95,2487324086.8716507
11,5.5,889402690664134.8,1146085831.080214,95579881934875.28,2485840277.343321
12,6.0,893663882659837.8,1034787442.4594088,95991647010214.03,2500905663.338131
13,6.5,897547214078677.5,1078978201.5737348,96344240004319.5,2499168700.4228854
14,7.0,901112602674305.2,1091440559.0228205,96709617141956.47,2500150312.293191
15,7.5,904463015937900.1,1177203225.3607378,97130432183336.5,2529800374.310131
16,8.0,907670455160902.9,1245531777.247902,97593534757916.97,2582387022.170561
17,8.5,910750563462691.2,1318504620.9684896,98041492172953.62,2641476135.4880924
18,9.0,913721214663717.9,1401511265.1260467,98447218439849.0,2701185514.3104687
