,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,4475670736267956.5,,503279599892921.3,
1,0.5,4477672445615758.5,,504003703325121.4,
2,1.0,4483630872644360.0,-1.1920928955078125e-07,506335095374313.94,445393719.24329066
3,1.5,4503507871120915.0,105141335.83568501,509408466160278.2,1371840926.4660609
4,2.0,4538363372698722.0,925022617.81356,510593054912776.1,2384619175.2040772
5,2.5,4584912451416095.0,2629170733.060611,507195417304412.0,2731585782.762622
6,3.0,4629153575532858.0,4168141618.620198,499802932038661.8,2531674976.0192294
7,3.5,4662051877526118.0,5171194377.807662,495244837776045.75,2378808800.905895
8,4.0,4687168324817731.0,5823407213.524329,494761300117443.4,2452797715.368869
9,4.5,4707646527132120.0,6296581923.604995,495109795109312.4,2522679018.7674932
10,5.0,4725284558043757.0,6646707275.853248,495126340493122.06,2517172813.433896
11,5.5,4740833174845715.0,6956890136.038846,495657953368202.4,2529210680.9070425
12,6.0,4755007877084375.0,7165034524.752882,496302323134386.1,2553078115.8433595
13,6.5,4768097122743626.0,7381649312.652146,496848481382507.6,2541242000.764697
14,7.0,4780186425702075.0,7576007651.935053,497656399402174.9,2542366418.0681167
15,7.5,4791718223287907.0,7735523316.404873,498617463854420.1,2573290847.0322223
16,8.0,4802890763843769.0,7909750567.264076,499598865187779.25,2635518690.723625
17,8.5,4813618747023575.0,8075973484.14588,500599596183607.44,2680432313.088503
18,9.0,4823880044376454.0,8223533668.459684,501637293246677.5,2731374723.7046375
