,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805862409961302.8,3.725290298461914e-09,90163947291284.75,16351643.120459627
2,1.0,807879826822762.0,0.0,91525224209679.25,497565832.663402
3,1.5,813992815968549.9,103425849.35812044,93891217132524.62,1518764293.7394207
4,2.0,825011074068443.8,983227733.1173458,95959046405920.69,2587918199.8414955
5,2.5,840133691379573.0,2768394381.189478,96339838031855.75,2919382343.787403
6,3.0,854074323429311.4,4396309644.067518,94734201610911.4,2774369277.0351086
7,3.5,863902954028606.1,5511392195.316007,93650159175698.12,2669121997.92622
8,4.0,871013058600096.1,6193564625.43614,93957364437162.39,2738856213.3002076
9,4.5,876525694865604.9,6760647244.934025,94452707155816.39,2809238708.194771
10,5.0,881078638182450.1,7188212378.145723,94679319169544.75,2807567288.7419586
11,5.5,884967828582476.0,7460437744.739847,95007892501296.28,2821586422.9927616
12,6.0,888413379845408.0,7731712183.593075,95347644130483.48,2840271467.894169
13,6.5,891531830131083.2,7971130669.324408,95604179068730.66,2844694291.43852
14,7.0,894374981699506.2,8189572704.123174,95898572922985.16,2848424422.251624
15,7.5,897041120590998.8,8426446900.751284,96273007500621.94,2868838665.9234066
16,8.0,899595579466073.2,8596547533.27253,96697009830291.69,2910821807.914219
17,8.5,902055326540424.9,8774888438.641958,97110321566215.1,2954869132.046625
18,9.0,904439427247500.9,8984547878.868023,97486453373905.66,2985149080.506664
