,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,895992343571912.0,,493926653388039.3,
2,1.0,899361584760246.5,408653547.3230773,496335477708911.6,408653547.3230772
3,1.5,907633569924028.0,1307699654.7779684,501991353259947.1,1307699654.7779682
4,2.0,920346894135122.2,2487966468.80462,510518322979623.75,2468899899.192531
5,2.5,935340229509701.2,3711118783.9372654,520030186474932.56,3512566709.0637903
6,3.0,947199655874903.6,4029040817.6194773,526288377007669.1,3723784591.6649737
7,3.5,955667455688501.4,3733458066.8131585,529877400244526.1,3492641973.120302
8,4.0,962877904343284.8,3392785013.535836,532871942447000.9,3234766793.063915
9,4.5,968707504444326.2,2940441567.315789,535122897508829.5,2922783962.814471
10,5.0,973376392820099.5,2562008570.8848896,536665081001732.9,2562008570.8848896
11,5.5,977506741627886.2,2271951632.88358,538086554501998.25,2271951632.88358
12,6.0,981196312608589.5,2074895584.5670156,539500626911355.44,2074895584.5670152
13,6.5,984477391638780.8,1892954915.4378667,540917247709098.9,1892954915.4378667
14,7.0,987514771399410.5,1764536853.843675,542418024778343.1,1764536853.8436747
15,7.5,990424262582781.0,1680736252.5664086,544015182848642.44,1680736252.5664084
16,8.0,993232826828578.8,1627070002.2636733,545664226776030.7,1627070002.263673
17,8.5,995902433091387.8,1575027813.9927692,547269507132753.94,1575027813.9927692
18,9.0,998433814833343.2,1520144929.0591285,548799858369762.4,1520144929.0591283
