,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805825659028507.0,,90219767196537.83,
2,1.0,807753191575587.8,5.960464477539063e-08,91658879698709.8,407426235.70749474
3,1.5,813580387297263.9,176541.4342365265,94134793447281.4,1305942535.838955
4,2.0,824148151780378.0,177320102.0967059,96308465745993.55,2325532468.9215155
5,2.5,838652305338248.6,1078818137.3302755,96825403343550.9,2653560667.257468
6,3.0,852031423431866.5,1650346297.6701403,95325971607658.89,2413328434.593008
7,3.5,861567400980540.4,1557060992.621316,94271916502490.12,2192960129.70666
8,4.0,868509079443786.8,1226755794.554965,94561079721058.16,2183635331.7084866
9,4.5,873918862748017.2,836998424.5825167,95009642611358.94,2131216050.3938522
10,5.0,878429481474311.5,536680414.523288,95203154333434.94,2019055124.5843256
11,5.5,882305277342154.0,339696084.6508677,95497616555192.75,1932014481.8603137
12,6.0,885736324087036.8,220071366.47403598,95800593247643.19,1854257816.6211123
13,6.5,888822868580188.8,163854417.57644796,96046797131571.03,1739366189.371897
14,7.0,891624052422784.9,131017682.4359994,96334505946328.61,1655970616.3724284
15,7.5,894236495794468.4,114257761.50955129,96685184468476.02,1590336871.4610188
16,8.0,896700407808174.9,101620238.87789416,97090760247199.25,1543762617.1524677
17,8.5,899044796689686.8,95627508.3566835,97483313438706.69,1495199590.654399
18,9.0,901295133903892.5,90712921.3186028,97834940245912.12,1451020086.0224452
