,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,4356959908372676.0,,2371274540229888.5,
1,0.5,4357862746557739.0,,2371747485892820.5,
2,1.0,4363982671540229.0,,2375047078828832.0,
3,1.5,4380650554667537.0,291827266.9190301,2384017924246622.0,157077786.4618194
4,2.0,4406598806533396.0,958816597.7982149,2397995182882988.0,514540693.5023369
5,2.5,4438924695336555.5,1908755801.3733392,2415446004866231.0,1014481142.4887668
6,3.0,4470022129875683.5,2672960989.8432856,2432301137358959.0,1407769462.3165467
7,3.5,4494733455906235.0,3012577980.536555,2445754314231378.0,1601725919.5487967
8,4.0,4514613320066728.0,3502792071.6276255,2456610997629181.5,1868181720.74976
9,4.5,4531039974332056.0,3804396572.6634684,2465595155652942.5,2014707980.3224854
10,5.0,4545006390964596.0,3950746837.181878,2473241904276990.0,2099561002.4138398
11,5.5,4557230441539752.0,4146603949.3418207,2479941211962753.0,2187535257.1844587
12,6.0,4568197032580322.0,4291868048.3185225,2485951105958703.5,2269518057.2684684
13,6.5,4578240510406644.0,4424868511.597172,2491452298909455.0,2360420226.966566
14,7.0,4587597091097252.0,4537027665.686662,2496574694459550.5,2416654382.1631575
15,7.5,4596429726403736.0,4621850062.718874,2501406784873901.0,2483132099.850856
16,8.0,4604853787425190.0,4737736045.535311,2506009562579639.0,2537193977.495269
17,8.5,4612950168482986.0,4827411076.988422,2510424139768699.0,2581069010.688276
18,9.0,4620777097532127.0,4901387545.473091,2514680554825494.0,2618595381.6904635
