,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805420432782652.2,,76647103441649.19,
1,0.5,805630862467599.0,,76649391020816.22,
2,1.0,807961958092488.2,,76674543012369.53,
3,1.5,814208611375378.1,132942342.97362219,76717679727764.88,25008955.60889928
4,2.0,824158015400194.5,885908522.0926548,76753505940805.97,166656058.61148986
5,2.5,836844476547343.1,1965485030.6376255,76784242825310.34,343873583.3683822
6,3.0,849080644757287.8,2879257344.6862755,76881749539656.03,526009512.6748868
7,3.5,858541187361607.0,3720195884.914591,77112077214645.1,686329870.2728403
8,4.0,865883880821831.8,4227529336.8688526,77430292115895.98,744074629.5518911
9,4.5,871755646867653.5,4661528151.581087,77783639989926.69,836003816.3661727
10,5.0,876608958076103.5,4773517962.742313,78141993118736.16,895273009.5417192
11,5.5,880759541070049.6,5132299688.585334,78491926020458.53,905440009.1914637
12,6.0,884419242996198.0,5406216747.36931,78827728599634.75,964026779.05302
13,6.5,887731530623181.2,5634158282.659446,79148141136600.4,1033039306.6921569
14,7.0,890795347207469.9,5729419585.187784,79453009728562.12,1070818752.7292067
15,7.5,893677581729834.2,5967005758.016783,79743684124298.28,1093850760.7204442
16,8.0,896424336072675.5,6075746958.2027025,80022238719127.56,1113735045.4099665
17,8.5,899067366844449.0,6224534263.820166,80290234965726.47,1157504827.3624244
18,9.0,901628893080098.6,6273589694.023867,80548818094570.16,1174681104.452795
