,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,893056507237963.2,,492139581923175.0,
1,0.5,893508598634788.2,,492528464231181.0,
2,1.0,896838490048081.5,429963019.8402449,494867230300393.75,429963019.8402448
3,1.5,905216604426453.5,1383703070.524544,500532876731142.25,1383703070.524544
4,2.0,918203504187023.2,3183318751.3269596,509170264088435.7,2813925852.596172
5,2.5,933568316603584.0,5130624385.726924,518876945689632.25,4266802639.4420743
6,3.0,945709270572324.1,6326579825.353179,525379435963277.75,4996208703.293525
7,3.5,954331861927045.0,7014732268.589726,529170937746849.1,5377955880.903433
8,4.0,961706642796099.2,7520702936.22814,532464061126779.4,5696654890.084805
9,4.5,967672866208259.8,7870085922.027047,535009999042989.25,5921728666.920923
10,5.0,972434565902786.2,8046228782.642261,536799534545680.8,5859933622.840462
11,5.5,976666763961768.5,8188715855.351114,538437871342861.5,5792007481.512369
12,6.0,980468437148529.1,8234540866.567704,540020254231185.56,5700976436.421385
13,6.5,983857645711003.8,8209033355.385717,541539205572646.7,5569042623.027878
14,7.0,987018731184347.5,8190036549.361322,543109814994832.9,5454466460.630682
15,7.5,990085417925271.5,8159074778.791699,544780482622861.0,5355541311.945183
16,8.0,993088590330027.0,8162561134.919616,546523915793423.25,5305511117.357383
17,8.5,995985647880923.0,8175061095.098241,548247565576666.3,5260066038.123551
18,9.0,998763486141476.0,8172048579.674249,549888562903367.25,5233785641.264286
