,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,7543923399368429.0,,651873378577562.8,
1,0.5,7543933536606163.0,,651887714581267.4,
2,1.0,7544026652813898.0,5.960464477539063e-08,651948582985597.5,434401797.9175868
3,1.5,7544309946996085.0,101470698.32157421,652056188699917.2,1382075238.8869653
4,2.0,7544820831875506.0,936241150.982069,652152157801100.6,2405235252.3891306
5,2.5,7545521452964820.0,2663154390.206927,652168657557464.4,2729526363.239699
6,3.0,7546168637933430.0,4233182516.887803,652087722150247.5,2529702014.1630344
7,3.5,7546626081333996.0,5222729592.8997,652032695635631.9,2376095647.817607
8,4.0,7546957450887854.0,5870612231.420725,652045956188260.2,2449414179.523171
9,4.5,7547214954499199.0,6333216642.524739,652067089599574.8,2519441344.3995237
10,5.0,7547428447287689.0,6696016717.493738,652075726526065.4,2515119641.321081
11,5.5,7547611153446992.0,6994910523.579071,652090462492361.0,2527859908.807527
12,6.0,7547773421101936.0,7201879473.2891,652105463673208.5,2554215442.2369413
13,6.5,7547920482177623.0,7418489641.72652,652116376806354.8,2545641018.892524
14,7.0,7548054851492133.0,7610647232.067114,652129423383771.1,2545353869.740564
15,7.5,7548181288523603.0,7764446114.752278,652146419745377.2,2577184347.031146
16,8.0,7548302432301965.0,7951489771.356196,652165958922131.2,2640782918.9487944
17,8.5,7548418934368202.0,8108295059.708366,652185050656348.4,2687079949.723423
18,9.0,7548531806067978.0,8266667327.925152,652202283921166.4,2736754246.5527244
