,depthsRC,IniProfile
0,-2.5,2.0
1,-7.5,2.1799163818359375
2,-12.5,2.359832525253296
3,-17.5,2.5397489070892334
4,-22.5,2.719665288925171
5,-27.5,2.8995816707611084
6,-32.5,3.079497814178467
7,-37.5,3.2594141960144043
8,-42.5,3.439330577850342
9,-47.5,3.6192469596862793
10,-52.5,3.7991631031036377
11,-57.5,3.979079484939575
12,-62.5,4.158995628356934
13,-67.5,4.338912010192871
14,-72.5,4.518828392028809
15,-77.5,4.698744773864746
16,-82.5,4.878661155700684
17,-87.5,5.058577537536621
18,-92.5,5.238493919372559
19,-97.5,5.418409824371338
20,-102.5,5.598326206207275
21,-107.5,5.778242588043213
22,-112.5,5.95815896987915
23,-117.5,6.138075351715088
24,-122.5,6.317991733551025
25,-127.5,6.497908115386963
26,-132.5,6.6778244972229
27,-137.5,6.85774040222168
28,-142.5,7.037656784057617
29,-147.5,7.217573165893555
30,-152.5,7.397489547729492
31,-157.5,7.57740592956543
32,-162.5,7.757322311401367
33,-167.5,7.937238693237305
34,-175.0,8.29707145690918
35,-185.0,8.656904220581055
36,-195.0,9.016736030578613
37,-205.0,9.376568794250488
38,-215.0,9.736401557922363
39,-225.0,10.096234321594238
40,-235.0,10.456067085266113
41,-245.0,10.815899848937988
42,-255.0,11.175732612609863
43,-270.0,11.895397186279297
44,-290.0,12.615062713623047
45,-310.0,13.334728240966797
46,-330.0,14.054393768310547
47,-350.0,14.77405834197998
48,-370.0,15.49372386932373
49,-390.0,16.213388442993164
50,-410.0,16.933053970336914
51,-430.0,17.652719497680664
52,-450.0,18.372385025024414
53,-470.0,19.092050552368164
54,-490.0,19.811716079711914
55,-510.0,20.531381607055664
56,-530.0,21.25104522705078
57,-550.0,21.97071075439453
58,-570.0,22.69037628173828
59,-590.0,23.41004180908203
60,-610.0,24.12970733642578
61,-630.0,24.84937286376953
62,-650.0,25.56903839111328
63,-670.0,26.2887020111084
64,-690.0,27.00836753845215
65,-710.0,27.7280330657959
66,-730.0,28.44769859313965
67,-750.0,29.1673641204834
68,-770.0,29.88702964782715
69,-790.0,30.6066951751709
70,-810.0,31.32636070251465
71,-830.0,32.046024322509766
72,-850.0,32.765689849853516
73,-870.0,33.485355377197266
74,-890.0,34.205020904541016
75,-910.0,34.924686431884766
76,-930.0,35.644351959228516
77,-950.0,36.364017486572266
78,-970.0,37.083683013916016
79,-990.0,37.803348541259766
80,-1010.0,38.523014068603516
81,-1030.0,39.242679595947266
82,-1050.0,39.96234130859375
83,-1070.0,40.6820068359375
84,-1090.0,41.40167236328125
85,-1110.0,42.121337890625
86,-1130.0,42.84100341796875
87,-1150.0,43.5606689453125
88,-1170.0,44.28033447265625
89,-1190.0,45.0
