,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805807636072139.2,,90205365944902.02,
2,1.0,807920792204847.5,5.960464477539063e-08,91642295153666.38,428054426.0559201
3,1.5,814120071423565.5,1813641.874295473,94089359876243.06,1359078450.1271958
4,2.0,825219310207260.0,426857505.83606625,96240134175246.78,2379671688.7506466
5,2.5,840473531651294.5,1573133899.754057,96701096912037.81,2736814260.4300365
6,3.0,854755324948278.1,2402172870.087756,95145710585385.6,2545224966.2052984
7,3.5,865163284848152.1,2468151406.449342,94109571689436.67,2393573224.6769094
8,4.0,872987207202662.0,2137258546.2075653,94430655994725.25,2460090445.197632
9,4.5,879300205735109.4,1690495369.8642216,94942536818187.89,2512238872.164674
10,5.0,884715896029402.1,1352994998.171856,95207143187456.67,2485302771.1240892
11,5.5,889479180203284.1,1132947336.9799194,95575234812748.92,2482314632.604925
12,6.0,893762374512480.2,1024283316.8509054,95985204492636.38,2496753724.6970205
13,6.5,897670102249987.8,1063297211.9611111,96336290636572.75,2492385936.556673
14,7.0,901262094336873.1,1072214420.9935069,96700210380366.27,2492424010.5308676
15,7.5,904641648192237.4,1156759863.2934217,97119118084551.88,2520381317.7241316
16,8.0,907880651237860.8,1211612178.6250467,97579735993949.95,2570137899.491869
17,8.5,910994058600299.2,1282565029.7090416,98024778346310.95,2629078885.525243
18,9.0,913998684501978.6,1374225483.8033442,98427919987931.6,2684306631.0479636
