,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,7733913933520019.0,,609196673309745.0,
1,0.5,7734022218013053.0,,609190391716054.4,
2,1.0,7734622338845559.0,,609132076925595.2,
3,1.5,7736305435978690.0,248851552.87759215,608979559257652.0,40629899.74585904
4,2.0,7738968824828988.0,987406272.4421401,608753794483942.4,159781278.85931104
5,2.5,7742323330639797.0,1827959574.747712,608507497899815.2,331335228.7142999
6,3.0,7745556473987156.0,2582203981.2172537,608335969461898.2,458771198.0900252
7,3.5,7748106070330059.0,3239661379.942829,608278800957963.2,573466272.0578282
8,4.0,7750144614902972.0,3533264964.8333783,608291691289044.2,636115536.8487581
9,4.5,7751822916534791.0,3999001997.402192,608341356671305.1,691799872.2479441
10,5.0,7753247918118254.0,4196430212.1348066,608409231121687.0,768124676.1221645
11,5.5,7754495121821816.0,4379559484.732276,608485531148700.0,794160833.8500086
12,6.0,7755614228017213.0,4488637576.297393,608564838366277.0,809285180.5990095
13,6.5,7756638867933088.0,4580013457.410416,608644257543832.2,838526734.6038897
14,7.0,7757592892351715.0,4721776720.253777,608722037787831.1,867916211.1056273
15,7.5,7758492438748821.0,4821175042.044976,608797461671893.0,881154401.4147767
16,8.0,7759348596976043.0,4940186575.404314,608870535493725.4,909681787.5471444
17,8.5,7760169206759982.0,5063898080.13918,608941373044356.5,922313051.6306756
18,9.0,7760960069567657.0,5282782334.141074,609010035204833.2,961215856.7996705
