,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805813676248518.4,,90220030320377.84,
2,1.0,807738675981861.0,0.0,91658793531814.33,408172403.55635643
3,1.5,813520755459863.6,0.0,94134118196448.14,1307887626.137548
4,2.0,824061827505807.8,165539377.83757305,96309639663182.06,2326885977.782716
5,2.5,838544545171141.1,1065528067.9006786,96826823306396.12,2654363979.4431505
6,3.0,851910801336546.5,1622641979.131122,95327633035670.52,2411501137.243631
7,3.5,861441435694606.1,1548847568.6570263,94272278118959.28,2189981123.501322
8,4.0,868373127026769.1,1217912059.4955473,94562865601466.22,2179409693.103111
9,4.5,873767946917093.8,824835314.9348409,95010608760210.28,2127769310.1178372
10,5.0,878260413206208.2,547293454.9826136,95202882008046.69,2013458427.7622004
11,5.5,882115765609113.8,348162055.1060467,95494923421716.73,1926048936.7688131
12,6.0,885524206747970.0,225807171.77803397,95793323305069.45,1852295279.5415719
13,6.5,888585367525584.9,165505704.812191,96033776897144.1,1731223811.6951256
14,7.0,891356387422682.2,131507058.55883765,96319222101687.94,1640526946.2072096
15,7.5,893936979801518.5,112229134.06518483,96666912389946.66,1576316698.7040305
16,8.0,896367400018330.1,100425261.8132217,97065518518051.84,1535606073.567856
17,8.5,898676903433258.5,93907207.32109809,97448011138724.17,1491062884.7117953
18,9.0,900889699817997.0,88202923.0211668,97789360984050.81,1437175591.5705688
