,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,882067536224301.5,,480065076429223.4,
1,0.5,882326492084472.0,,480203028891877.44,
2,1.0,884576639905596.9,,481415518877537.7,
3,1.5,890610043627647.5,,484662511079024.1,
4,2.0,900173062212615.0,154256204.06256115,489812962980143.4,82269867.47228242
5,2.5,912318512694356.0,508515577.13761485,496368551149340.6,276759498.99367136
6,3.0,924075251575238.5,854753519.0430233,502741321204679.9,423153962.4065106
7,3.5,933315080576559.1,633611512.6108866,507776869332892.25,320333320.4669319
8,4.0,940602997192674.1,483791850.81967056,511767131387581.25,252035772.67572707
9,4.5,946499400732979.2,271178186.7088741,515006468493851.6,136428706.2516635
10,5.0,951407047168685.5,88006172.36459848,517710233320417.75,30532112.42494862
11,5.5,955614435962301.5,,520034519364492.9,
12,6.0,959315834709249.8,,522082879076722.6,
13,6.5,962645306416333.1,,523927417457858.44,
14,7.0,965696293021704.8,,525618352176012.2,
15,7.5,968533511554155.0,,527189054495911.6,
16,8.0,971203116203708.0,,528662471063288.4,
17,8.5,973737289199432.6,,530054212711041.4,
18,9.0,976159843018188.1,,531376393609395.25,
