,day,CS1,CS2,CS3,CS3sb,CS4,CS5,AS1,AS2,LID1,LID2
0,0.5,-0.8330808877944946,-1.9429717063903809,14.948637962341309,1.4231417179107666,-12.131610870361328,-0.760989785194397,82.16983795166016,98.41403198242188,0.2684914767742157,1.3195308446884155
1,1.0,4.171355247497559,2.6009721755981445,75.88452911376953,18.05368423461914,-75.3556900024414,1.9406667947769165,535.7351684570312,629.6657104492188,3.424330711364746,4.9449591636657715
2,1.5,11.840730667114258,10.681650161743164,180.02359008789062,100.3975830078125,-198.25975036621094,12.282905578613281,1248.212158203125,1523.218017578125,12.424650192260742,9.305139541625977
3,2.0,22.04030418395996,32.051727294921875,341.49798583984375,306.97467041015625,-393.19415283203125,26.1478328704834,1884.9259033203125,2453.56494140625,21.682395935058594,16.89748191833496
4,2.5,37.7928466796875,94.28181457519531,545.1204833984375,475.34527587890625,-600.2844848632812,42.415504455566406,2390.94482421875,3249.84228515625,15.115412712097168,30.179304122924805
5,3.0,51.44277572631836,128.65818786621094,432.7267150878906,497.74090576171875,-565.3692626953125,58.33631896972656,2509.945556640625,3295.478515625,0.5312850475311279,20.625211715698242
6,3.5,49.56425476074219,50.02956008911133,300.977294921875,493.57568359375,-383.5685729980469,54.675350189208984,2309.12548828125,2831.92333984375,-6.544787406921387,11.896986961364746
7,4.0,29.738636016845703,7.841861248016357,326.1632080078125,504.6727294921875,-270.183837890625,33.64443588256836,2097.22216796875,2483.226318359375,-4.151823997497559,10.29672622680664
8,4.5,9.065130233764648,73.62947845458984,263.9707336425781,431.521484375,-240.00897216796875,13.061208724975586,2001.0677490234375,2297.778076171875,-3.1409878730773926,7.678559303283691
9,5.0,16.328548431396484,95.13875579833984,187.58401489257812,312.7127380371094,-216.67193603515625,4.842096328735352,1970.0838623046875,2171.430419921875,-2.9659478664398193,4.745962142944336
10,5.5,29.262210845947266,45.99308776855469,166.80404663085938,265.49169921875,-193.19143676757812,10.154228210449219,1913.141845703125,2066.979736328125,-1.6206388473510742,3.5499539375305176
11,6.0,31.914634704589844,4.789463996887207,161.41139221191406,266.7571716308594,-170.99505615234375,15.004743576049805,1853.79345703125,1998.166748046875,-1.0718133449554443,2.8184008598327637
12,6.5,21.96624755859375,13.17192268371582,151.9761962890625,250.84268188476562,-151.3419647216797,19.658231735229492,1830.0455322265625,1954.1312255859375,-1.1447710990905762,1.9665817022323608
13,7.0,10.219345092773438,40.933841705322266,144.29034423828125,233.82693481445312,-143.4658660888672,15.952463150024414,1822.7650146484375,1929.57275390625,-0.7656854391098022,1.4906532764434814
14,7.5,8.013297080993652,53.187469482421875,142.99026489257812,234.52081298828125,-147.76014709472656,6.505664825439453,1815.957275390625,1924.842041015625,-0.24567344784736633,1.6770793199539185
15,8.0,14.231066703796387,51.148345947265625,141.92825317382812,245.11312866210938,-161.5364990234375,1.3519424200057983,1807.606689453125,1932.769775390625,0.15043893456459045,1.9707493782043457
16,8.5,19.4862060546875,50.68778991699219,134.0546875,247.07620239257812,-172.78440856933594,1.1890238523483276,1805.1595458984375,1940.75048828125,0.2815057635307312,1.8920302391052246
17,9.0,20.75481605529785,52.499046325683594,125.00440979003906,236.04962158203125,-173.6972198486328,2.6620676517486572,1809.877197265625,1941.369384765625,0.2982402443885803,1.6243363618850708
