,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805855735801444.8,,90112089429387.28,
2,1.0,807859515660996.5,-5.960464477539063e-08,91424411337788.12,437580236.90711725
3,1.5,813953624793592.9,102283321.10768771,93739210626363.75,1387924282.8301442
4,2.0,824941231504929.2,942522293.4115729,95798535774757.17,2422509095.0465026
5,2.5,840006858416348.9,2651483533.271377,96152339465567.4,2750363000.595322
6,3.0,853918940002313.5,4228314972.0032635,94426897921269.81,2560167967.4775305
7,3.5,863747737844436.2,5294825547.566173,93257593877338.19,2427806202.1347265
8,4.0,870862754388522.5,5969807732.909279,93547992856858.2,2512898803.3634105
9,4.5,876386236472691.9,6472311399.533289,94009585836321.84,2594157087.840315
10,5.0,880958853461662.2,6896497250.55699,94203833572510.97,2603309815.7837486
11,5.5,884868143474323.0,7200066619.592569,94525019436731.48,2625907239.681692
12,6.0,888335898046481.8,7449340387.11045,94852964343814.47,2660378891.670802
13,6.5,891475052091891.0,7693317652.439201,95095237891613.56,2670666865.8469396
14,7.0,894339326208411.4,7882357080.436838,95381226833583.27,2677868042.9454637
15,7.5,897031610741013.2,8063005743.703428,95749898846313.95,2712201065.3218937
16,8.0,899611032319262.8,8281737009.923724,96172028775976.62,2777635770.7764177
17,8.5,902091046216111.9,8463618348.602575,96584973081586.28,2832445630.531271
18,9.0,904492194488810.6,8651535762.95027,96958303027330.4,2878521084.569931
