,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805420432782652.2,,76647103441649.19,
1,0.5,805704536407202.4,,76649492317201.72,
2,1.0,807989082167481.1,,76675978632407.88,
3,1.5,814188865393153.5,131844121.45081952,76725023869700.12,9399671.106817126
4,2.0,824082364450080.1,851897422.1952056,76776764074656.88,141697753.30742013
5,2.5,836686678042043.6,1787338747.507322,76833864972981.4,323419673.6564462
6,3.0,848839984228719.4,2748500977.8202915,76961589833298.34,482927864.79286265
7,3.5,858250959606673.2,3259177004.083494,77219265420903.31,561466154.5141933
8,4.0,865560805174208.6,3686225803.871342,77559185141782.1,664073224.1879315
9,4.5,871407817585926.5,3945882443.7081766,77930030767737.19,699866763.2845489
10,5.0,876242029570598.6,4032349901.7508054,78302806963988.88,726812690.381147
11,5.5,880377038919546.2,4071970617.140881,78664850025202.73,743060780.3111529
12,6.0,884022124383403.5,4137361041.49441,79011321621343.53,758596426.519095
13,6.5,887318720385474.8,4151273700.582564,79341389959098.97,763214279.4500109
14,7.0,890364782338995.1,4195833969.865847,79655396317925.97,776241671.5541166
15,7.5,893226514172735.6,4222586318.2259583,79954822576970.38,774853774.8534657
16,8.0,895949307695816.6,4261978025.68594,80241886226766.38,774623004.6628973
17,8.5,898564686020607.6,4274680184.2859154,80518374467589.64,779422109.649704
18,9.0,901095172832923.6,4275468189.947824,80785461208645.34,801272227.1998601
