,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,896013002017041.2,,493937490806340.5,
2,1.0,899563087358513.9,428054426.0559202,496455838257061.1,428054426.0559202
3,1.5,908209431299808.5,1360892092.0014913,502322934766263.4,1360892092.0014913
4,2.0,921459444382506.8,2806529194.586713,511132300944204.0,2620473249.3519144
5,2.5,937174628563332.2,4309948160.184093,521047517119798.5,3797007833.323203
6,3.0,949901035533663.8,4947397836.293055,527915202881476.5,4195615137.3996925
7,3.5,959272856537588.8,4861724631.126251,532251710855863.6,4098832995.117017
8,4.0,967417863197387.2,4597348991.405197,536076515387527.9,3927961443.989361
9,4.5,974242742553297.2,4202734242.0288954,539188641824779.56,3682370804.7708592
10,5.0,979923039216858.8,3838297769.295945,541565008398860.0,3459893856.565942
11,5.5,985054415016033.0,3615261969.5848446,543728392348942.06,3290172329.037791
12,6.0,989747579005116.6,3521037041.547926,545789089997306.6,3175707672.166814
13,6.5,994006392886560.5,3555683148.517784,547733167327976.3,3083836571.029928
14,7.0,997962304717239.4,3564638431.5243745,549629326979132.8,3042497927.988578
15,7.5,1001760766276789.2,3677141181.0175533,551549035642431.6,3121499212.6692038
16,8.0,1005460387231810.8,3781750078.1169157,553508047088569.75,3201493258.110684
17,8.5,1009018836946610.2,3911643915.2342844,555434328674861.5,3296209921.012631
18,9.0,1012426604489910.2,4058532114.851308,557285602764715.7,3397529692.0796967
