,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,803038569932847.8,,76647103441649.19,
1,0.5,803240388505420.8,,76649654028878.94,
2,1.0,805455477012644.4,,76682157049788.89,
3,1.5,811361796348921.9,,76780241188499.64,
4,2.0,820718791523172.8,132034182.26512565,76958053458630.53,9229128.812691314
5,2.5,832569272164589.1,427322076.42658913,77228333969752.67,68467664.08465433
6,3.0,843936405310120.5,728958763.887095,77598728953211.78,92262568.12223399
7,3.5,852702007661284.5,490448388.43924284,78053426278093.97,83298846.42273116
8,4.0,859477121407831.0,395280956.5462946,78542706862543.6,65340407.03550959
9,4.5,864864266048400.0,204996249.73049033,79024760552248.0,25008955.60889928
10,5.0,869283818923647.0,,79480745511343.55,
11,5.5,873030238267748.1,,79906733368245.14,
12,6.0,876297298823509.1,,80303089564352.12,
13,6.5,879215606999177.0,,80672861335577.69,
14,7.0,881874701561917.9,,81019525598271.38,
15,7.5,884335402170174.4,,81346664216409.08,
16,8.0,886641045084427.8,,81657260068911.69,
17,8.5,888822479469174.0,,81953093955765.5,
18,9.0,890901508585764.5,,82235341119068.66,
