,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805850827843521.9,,90117426664001.6,
2,1.0,807896600578449.0,0.0,91437133305169.22,429788170.4225651
3,1.5,813905778154217.0,46212315.01056576,93767469317952.38,1375985560.52395
4,2.0,824825021916048.8,787677565.120163,95843878843028.81,2401450364.889963
5,2.5,839828422532225.8,2413501150.8501673,96217210031248.05,2721608298.3394003
6,3.0,853689748772549.1,3819944311.1101704,94509114050066.88,2516766851.679592
7,3.5,863498877436601.2,4655354264.226864,93343957103680.95,2356561169.179681
8,4.0,870609214615412.2,5120728578.932995,93628526762338.94,2424754495.7295775
9,4.5,876136259270228.5,5394544248.646925,94078086578936.94,2493685698.748039
10,5.0,880719802415182.9,5581974276.745424,94264707882622.88,2484985187.2193894
11,5.5,884645744384699.5,5712210698.754127,94579699660542.16,2494409609.8443556
12,6.0,888132165979427.6,5740535615.644482,94900889778657.34,2507823222.0195603
13,6.5,891290451951000.8,5741935602.359844,95139426050171.69,2495403201.3971796
14,7.0,894176632915784.6,5728602763.371007,95424843014568.38,2483404782.4495716
15,7.5,896894111962122.1,5704469087.078905,95789304400846.62,2497596908.982534
16,8.0,899496663323249.8,5691097557.560734,96205536788288.75,2533573819.5309067
17,8.5,901999239352478.0,5642495328.616061,96611461790789.31,2565321644.815934
18,9.0,904423469670644.0,5616293543.458591,96977269092735.44,2589815307.787518
