,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,7542831185667474.0,,588798692941240.2,
1,0.5,7542844631258527.0,,588798812294736.4,
2,1.0,7542951176147490.0,,588800010470493.4,
3,1.5,7543240740263486.0,132942342.97362219,588802064807421.2,25008955.60889928
4,2.0,7543703357231610.0,956055204.8085636,588803748131640.6,166656058.61148986
5,2.5,7544292990126601.0,1944768061.7212012,588805142636817.0,343873583.3683822
6,3.0,7544861948862743.0,2876246808.998067,588809633610813.8,524957023.7357002
7,3.5,7545302601101306.0,3744028767.5094905,588820338721651.6,677912774.3240246
8,4.0,7545644856315222.0,4258620947.950418,588835104547238.4,757278120.0379213
9,4.5,7545918610116978.0,4696662209.213281,588851494890422.8,836141251.4565096
10,5.0,7546144947258018.0,4846066368.431356,588868117025596.2,897916186.816183
11,5.5,7546338552117515.0,5176434784.249577,588884347442152.8,927161254.3541404
12,6.0,7546509266438796.0,5440939748.296107,588899926339561.2,978228664.1866901
13,6.5,7546663741954165.0,5672503380.487082,588914792229080.6,1035037358.9868699
14,7.0,7546806607134410.0,5729257650.551619,588928941287036.4,1079540296.925112
15,7.5,7546940973034971.0,5935736203.322606,588942428441792.8,1091013471.5008996
16,8.0,7547068972310780.0,6123333941.774008,588955348685781.8,1107359386.1774464
17,8.5,7547192089806776.0,6240326048.156438,588967782163811.5,1166030661.771758
18,9.0,7547311371571009.0,6338020233.482981,588979781662657.0,1183279301.4893699
