,day,CS1,CS2,CS3,CS3sb,CS4,CS5,AS1,AS2,LID1,LID2
0,0.5,-0.2521635890007019,-0.6683979034423828,6.104532241821289,0.611299991607666,-4.623893737792969,-0.22106629610061646,31.518178939819336,37.79713439941406,0.11031782627105713,0.5417160987854004
1,1.0,2.340132713317871,1.7909491062164307,33.71452331542969,7.984624862670898,-28.37348175048828,1.458132266998291,204.52560424804688,241.3461456298828,1.3434038162231445,1.9038944244384766
2,1.5,6.242395877838135,5.877802848815918,82.30751037597656,42.76668167114258,-75.08549499511719,6.439296245574951,473.8110656738281,582.5703735351562,4.384098052978516,3.0816650390625
3,2.0,10.168609619140625,14.19824504852295,148.68392944335938,128.46229553222656,-151.81634521484375,11.669950485229492,711.3095703125,931.9459228515625,6.837728500366211,4.8267669677734375
4,2.5,15.419328689575195,38.26838684082031,210.78192138671875,201.5186767578125,-232.53573608398438,17.050230026245117,898.3344116210938,1204.06884765625,4.572002410888672,8.374414443969727
5,3.0,19.991981506347656,51.18891143798828,161.5803680419922,207.77044677734375,-213.61865234375,22.452131271362305,939.4005126953125,1194.8619384765625,0.22897037863731384,5.937150001525879
6,3.5,19.194719314575195,21.05215835571289,117.11772155761719,198.8782958984375,-142.175537109375,21.396587371826172,860.1807861328125,1032.069580078125,-1.7092804908752441,3.58530330657959
7,4.0,11.88602066040039,5.698403835296631,125.86601257324219,199.03256225585938,-99.42017364501953,13.969940185546875,778.443115234375,909.2757568359375,-1.0685641765594482,2.970712184906006
8,4.5,4.377817153930664,30.302515029907227,102.47816467285156,169.52685546875,-87.43870544433594,6.3415632247924805,741.7493286132812,842.3670654296875,-0.7867469191551208,2.159566640853882
9,5.0,7.1412739753723145,37.897422790527344,73.76344299316406,124.18737030029297,-78.2204818725586,3.063920497894287,729.9415893554688,796.55224609375,-0.7388923764228821,1.3219228982925415
10,5.5,12.002584457397461,19.690349578857422,65.12779235839844,105.4665756225586,-69.37908935546875,4.810351848602295,709.1674194335938,759.5877685546875,-0.3975776433944702,0.9636872410774231
11,6.0,12.970634460449219,4.145391464233398,62.73523712158203,105.60123443603516,-61.483299255371094,6.5806450843811035,687.3202514648438,735.5013427734375,-0.25209468603134155,0.762467086315155
12,6.5,9.021507263183594,7.0592875480651855,59.21213912963867,99.4632568359375,-54.57966613769531,8.260668754577637,678.9805908203125,720.2068481445312,-0.277932345867157,0.5435255169868469
13,7.0,4.501540660858154,17.373065948486328,56.35746383666992,92.55892181396484,-51.59220504760742,6.722416400909424,677.3444213867188,711.9549560546875,-0.19334100186824799,0.4101065993309021
14,7.5,3.5172033309936523,21.824256896972656,55.932464599609375,92.74674987792969,-53.29689025878906,3.2105417251586914,675.6412963867188,711.577880859375,-0.05975368991494179,0.44904112815856934
15,8.0,5.657962799072266,20.888395309448242,55.610382080078125,97.03717041015625,-58.70416259765625,1.175579309463501,672.976318359375,715.8353271484375,0.047674406319856644,0.5294186472892761
16,8.5,7.699737071990967,20.408321380615234,52.623016357421875,97.74664306640625,-63.17481994628906,0.9892134666442871,672.570556640625,719.67041015625,0.08224108070135117,0.518501877784729
17,9.0,8.244047164916992,20.809574127197266,48.99687576293945,93.1581039428711,-63.7999267578125,1.632213830947876,674.9330444335938,720.5406494140625,0.08754871040582657,0.44768649339675903
