,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,895968995840499.5,,493862317916869.0,
2,1.0,899287812042765.0,437483911.07590824,496193189468141.5,437483911.07590824
3,1.5,907700189334763.9,1487463231.8851295,501872498141699.4,1417469257.7297938
4,2.0,920749199519420.2,3349341460.4880915,510535411366383.4,2882124964.2283144
5,2.5,936171045902980.0,5372406737.046909,520263593638392.6,4402209307.668544
6,3.0,948362532250991.9,6751730284.800275,526805610894251.3,5233406767.827393
7,3.5,957030886692933.4,7652815924.563962,530630254109017.5,5760894431.031483
8,4.0,964448384276684.4,8406593693.590735,533947634072403.75,6231318115.730068
9,4.5,970449241609054.0,8969353888.542316,536513515216962.6,6392034400.319157
10,5.0,975235886112702.8,9358141041.293331,538330126385190.9,6422662723.7841835
11,5.5,979489074613464.8,9698618161.480642,540000144820873.9,6430083183.151021
12,6.0,983309651216230.1,9942786918.086588,541620137186869.44,6406119267.746236
13,6.5,986718075405390.6,10202662179.128828,543177887381385.4,6393218588.981827
14,7.0,989896961395232.6,10390282526.921288,544785044258167.9,6374389557.748843
15,7.5,992987984866562.0,10586390136.786716,546496054405900.6,6381616163.443593
16,8.0,996020468343038.0,10849195811.426987,548282268652094.75,6456112182.640554
17,8.5,998944596672102.9,11068928763.348007,550046701764669.3,6500460624.961369
18,9.0,1001751174771742.5,11286882468.89478,551733857950946.8,6552991650.729959
