,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,895885504738153.6,,493817092441647.4,
2,1.0,899235041364808.5,434376797.24359596,496159376116299.25,434376797.243596
3,1.5,907657374837346.0,1483386546.5103314,501837730134684.9,1411400209.9200525
4,2.0,920705686267850.0,3325192863.676296,510499484112116.7,2869555474.5174427
5,2.5,936122329961238.8,5357926177.199402,520221628772434.75,4395262330.262384
6,3.0,948292445423087.4,6750882061.174704,526737096430213.06,5230049805.214073
7,3.5,956936093555333.2,7614049490.249202,530542729082207.75,5696129154.599177
8,4.0,964336410321300.0,8300411641.3959255,533879002510289.75,6182061338.848979
9,4.5,970314454705923.2,8817691034.806149,536463625037848.06,6353880301.887389
10,5.0,975080267808786.1,9197310071.430843,538281616899452.9,6354148977.267252
11,5.5,979317032281630.0,9495124373.65053,539940957226975.44,6325523970.830727
12,6.0,983117856722679.5,9730016351.852068,541539459625574.75,6288240972.965797
13,6.5,986504578212622.8,9941120639.43095,543072501194098.75,6235328223.021097
14,7.0,989669742907133.0,10125990120.617428,544664186558881.9,6203832855.327833
15,7.5,992750700124175.4,10312565954.37766,546364977698493.75,6201630017.407845
16,8.0,995770535533671.8,10545640941.962818,548139720377201.7,6272903910.031681
17,8.5,998681634174424.8,10737390425.596603,549892495068782.7,6296837672.728455
18,9.0,1001477006112300.6,10951550025.913097,551569716927548.6,6346137036.73658
