,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805778798013544.9,,90106706703516.42,
2,1.0,807820821706041.2,0.0,91414219620429.75,434376797.24359596
3,1.5,813931905581756.4,102549743.47055554,93725468857899.1,1380836803.0397758
4,2.0,824916561268640.0,919608188.9627552,95789124057845.69,2405584674.713541
5,2.5,839980100278491.1,2629933956.2501116,96142228005442.7,2727992220.9492903
6,3.0,853891634577057.9,4224602898.684374,94400808659160.83,2526279162.4903297
7,3.5,863717902282600.0,5242401180.887557,93218189081116.56,2371648309.3616447
8,4.0,870829580075361.0,5853891195.156686,93506828006012.25,2446520446.2392397
9,4.5,876352622575598.0,6301775146.70245,93961829342757.89,2515915888.1036983
10,5.0,880929627896226.4,6686553820.714376,94150636443354.03,2510756250.716467
11,5.5,884845722312771.2,6968611149.330911,94471305749172.0,2526513224.319619
12,6.0,888322788871383.5,7177410129.590173,94795063115176.53,2552606222.261895
13,6.5,891473461568289.2,7399352391.801542,95031111270875.19,2541768247.6294074
14,7.0,894353289579439.5,7583997811.816582,95316447207879.06,2541992308.8008466
15,7.5,897064465110333.4,7738633638.629793,95686228208319.84,2573932315.7478676
16,8.0,899663236056637.0,7905689589.585338,96107291834154.78,2639951352.3774805
17,8.5,902164016256863.9,8047720179.58638,96517609528895.17,2689670246.0102234
18,9.0,904587997660446.2,8215781817.636095,96888999314704.45,2735768208.277002
