,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,7086604092585972.0,,3856882829962611.0,
1,0.5,7089261414019234.0,,3858249236652079.0,
2,1.0,7099706267746542.0,,3863898216010056.0,
3,1.5,7129793539370537.0,280043532.29148304,3880094786896193.5,145294051.8342724
4,2.0,7177764415001788.0,1149336653.7252305,3905923188958601.0,607751262.2302259
5,2.5,7238778457612076.0,2171833158.1160946,3938838307326124.0,1182019752.7113113
6,3.0,7298608007826654.0,3279576082.5119433,3971255042158052.0,1765498548.7972326
7,3.5,7346564353340818.0,4186046567.5286674,3997365336672852.0,2227740677.354007
8,4.0,7385309018106226.0,4594036871.40917,4018530341415634.0,2463575174.315282
9,4.5,7417436787323170.0,5203692273.398184,4036104983803569.0,2780945787.9687424
10,5.0,7444843395126364.0,5426593947.516133,4051111259105116.0,2938445606.1388288
11,5.5,7468908701719414.0,5683533479.240267,4064298440909555.0,3047804932.718775
12,6.0,7490565177166184.0,5868544001.267738,4076160380988788.5,3126540003.0487833
13,6.5,7510454383739015.0,6192132344.408754,4087043065270542.0,3292904741.5005264
14,7.0,7529028066877312.0,6320789758.881653,4097195187327012.5,3408187024.2529716
15,7.5,7546596095831592.0,6552837744.978577,4106785860013310.0,3514519452.4027433
16,8.0,7563377231244450.0,6717916109.767679,4115932239136361.0,3600938733.8358316
17,8.5,7579525231847034.0,6972290010.899959,4124713881543361.5,3742547096.420439
18,9.0,7595150391195142.0,7075045596.085678,4133189357389235.0,3816708696.6462307
