,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,803257406382243.4,,89799100855719.88,
1,0.5,803391173162147.2,,90106736711691.44,
2,1.0,805407180935697.4,-5.960464477539063e-08,91415010427297.75,434255427.46228975
3,1.5,811476653990436.6,102345426.21475935,93728150852206.16,1380528793.913549
4,2.0,822420832291317.2,915580905.431253,95792388574573.25,2405302467.5230494
5,2.5,837449485151407.0,2626218888.5142565,96153656018970.38,2729020459.8667
6,3.0,851347200929415.2,4213132239.7423,94416569584666.69,2529386538.080015
7,3.5,861169719647178.0,5228985286.432737,93223841259969.36,2373802245.260615
8,4.0,868275833527473.0,5848253290.07764,93502352672460.53,2446326666.4390545
9,4.5,873791554791680.4,6261452533.059758,93956412557374.98,2516273682.6161985
10,5.0,878360062103215.0,6652609199.492811,94145779228085.28,2511186864.33828
11,5.5,882264539688178.1,6942820489.826739,94468776126067.86,2529096796.376401
12,6.0,885729454988882.9,7158092207.392092,94798370678963.4,2555622230.1704655
13,6.5,888869197400097.8,7373689613.103558,95037195583107.56,2551586022.193367
14,7.0,891737460863461.2,7562144659.449686,95321793302619.38,2546574172.400694
15,7.5,894436065043107.1,7716173699.038826,95686556469890.62,2577601829.984144
16,8.0,897021798945268.8,7856217721.777986,96103463391610.5,2639882062.446847
17,8.5,899508448468533.2,8003668546.696382,96515166101409.06,2690359239.3116446
18,9.0,901915624155252.6,8167055434.624758,96889027904415.9,2736297299.141664
