,day,TronShelfwHole,HCWonShelfwHole,TronHole,HCWonHole
0,0.0,805639269232047.6,,89799100855719.88,
1,0.5,805846418924903.6,,90116178891217.75,
2,1.0,807855162830584.6,0.0,91437086362801.02,432238262.39120233
3,1.5,813955255613806.5,75234412.45388198,93763197964443.25,1376621649.225502
4,2.0,824950197634005.2,810914105.7531762,95832737697396.53,2399530084.274348
5,2.5,840038660440363.8,2453716670.890986,96194937201500.5,2726758569.7788854
6,3.0,854006720339327.5,3857810068.409469,94471385588065.27,2524592885.506806
7,3.5,863940414154216.0,4698586037.335772,93297099096123.44,2371302425.294386
8,4.0,871198741749130.8,5292203180.546411,93574714423876.06,2449354771.284134
9,4.5,876898328591502.2,5627538120.374617,94020152904685.56,2523601767.162678
10,5.0,881676106107525.1,5834669242.273342,94199664222957.58,2524787300.289178
11,5.5,885810325234776.0,5981482270.862598,94507498802853.44,2544457800.1828856
12,6.0,889513276526064.9,6105043064.145439,94826867380196.22,2565185862.9640155
13,6.5,892893793369665.6,6177471021.433345,95063601475002.36,2565439317.894538
14,7.0,896002577483166.5,6213928337.53435,95342872315074.94,2558803532.48145
15,7.5,898941930625112.5,6241678618.401427,95703582130916.53,2581423510.5655107
16,8.0,901773766690243.1,6275143800.530311,96115993969547.62,2623169879.8520365
17,8.5,904507850104156.2,6311533696.790144,96517814583066.94,2662218765.1479363
18,9.0,907158220995746.8,6319670897.824123,96882478163867.27,2692430452.202442
