,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,895970271890683.2,,493865469059030.06,
2,1.0,899286426338637.0,430065966.6773954,496197242089462.25,430065966.67739534
3,1.5,907683644646251.8,1416077835.596397,501870662445248.9,1390510501.2906723
4,2.0,920702805524531.2,3185380630.5841794,510521292711208.8,2822735129.2791014
5,2.5,936089155801867.0,5148432265.458242,520230757950752.75,4267258812.0067816
6,3.0,948242879476728.2,6367838213.130398,526737995880851.0,5000174546.077242
7,3.5,956885953209408.8,7027366283.903374,530539899106221.5,5371864583.73488
8,4.0,964283251399470.0,7566282543.630693,533845118423347.1,5710279638.945026
9,4.5,970268735145729.2,7923790537.004124,536402211946233.5,5934997739.814713
10,5.0,975047008721441.0,8099542863.869509,538199646612490.25,5869571091.146557
11,5.5,979295920295513.2,8233340715.218645,539844404391584.6,5805471506.1479435
12,6.0,983112811113889.4,8292222810.816076,541435471035667.06,5714985736.460685
13,6.5,986518154604812.8,8275977089.359396,542964534487028.2,5580123333.111946
14,7.0,989695046717549.2,8240187707.100155,544543770009722.9,5458553223.94824
15,7.5,992781694326648.2,8219325068.578389,546223149922630.94,5373790494.147918
16,8.0,995806531211554.1,8234847601.527078,547973389752963.8,5326698511.066576
17,8.5,998720824625249.8,8239154091.08325,549695928348930.0,5276521781.897539
18,9.0,1001515490773814.4,8219996602.0302305,551335357764194.5,5247265181.805961
