,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,4.710433083549173e+16,255560048498.06403,2.5735894910363416e+16,139996162938.94446
1,0.5,4.708910015134688e+16,255558139243.3484,2.5725229629675476e+16,139994253684.22882
2,1.0,4.702987128413243e+16,255099331887.75162,2.568449852996108e+16,139535446328.63202
3,1.5,4.687352622880665e+16,254088595712.19455,2.5583633798718748e+16,138596696489.66522
4,2.0,4.663021267313318e+16,252282690963.40652,2.543037502289767e+16,137179093816.79356
5,2.5,4.634120906552357e+16,250267407952.2514,2.5259434278058024e+16,135679878576.7876
6,3.0,4.609942565842542e+16,248971156723.432,2.513013866982627e+16,134864030706.95535
7,3.5,4.591644213799834e+16,248165353570.5266,2.5039994441072836e+16,134412111196.26938
8,4.0,4.575842216903352e+16,247402719021.73022,2.496158390897288e+16,133910641205.28293
9,4.5,4.562675298566888e+16,246896753630.4546,2.4900440939308704e+16,133714949625.84904
10,5.0,4.551717892361923e+16,246582476066.4599,2.485618751278477e+16,133711267225.27423
11,5.5,4.541847958932557e+16,246261888756.74814,2.481637029519424e+16,133724552870.36517
12,6.0,4.532855521797765e+16,246000026138.53647,2.477724778753213e+16,133749535605.02475
13,6.5,4.5246829233267544e+16,245814024933.01764,2.4739102787666124e+16,133826629399.26093
14,7.0,4.517011197132624e+16,245609548679.96188,2.47007293875266e+16,133843276939.9654
15,7.5,4.509604145894383e+16,245440010043.9049,2.4661382462556616e+16,133841941941.52328
16,8.0,4.5024149633278616e+16,245218588009.6653,2.4621118399532884e+16,133789057416.30319
17,8.5,4.4955047478994856e+16,245010655283.25916,2.4581297939186132e+16,133743989671.50836
18,9.0,4.488872597344016e+16,244801376919.24536,2.454293140295179e+16,133699217876.76776
