,day,TronShelf,HCWonShelf,TronCV,HCWonCV
0,0.0,895438370087767.5,,493435910292689.4,
1,0.5,896890060811156.0,,494841809082825.75,
2,1.0,900531399068899.2,266998206.67422068,497808564689282.9,266998206.67422068
3,1.5,907625392779131.9,792836427.13453,503241071705918.6,792836427.1345301
4,2.0,917384681473012.5,1398508515.7604387,510487492432618.6,1398508515.7604387
5,2.5,928091444511307.8,1603041888.924319,517795114317840.75,1603041888.924319
6,3.0,936289413531766.0,1057863000.9318528,520952166847244.25,1057863000.9318528
7,3.5,942237899886900.5,466447589.4432084,522077857484742.5,466447589.44320846
8,4.0,947220076118076.6,235853064.80462414,522813363849449.94,235853064.80462414
9,4.5,951114131144660.5,138560236.73188844,523151850723364.2,138560236.7318884
10,5.0,954195295819689.2,63355186.71388885,523051614138315.94,63355186.71388885
11,5.5,956862949233626.9,30954050.164690148,523313175483195.5,30954050.16469015
12,6.0,959178202947932.8,14916098.477971463,524069305386185.5,14916098.47797146
13,6.5,961246467344708.9,,525336774246563.6,
14,7.0,963112965975695.5,,527043997048559.25,
15,7.5,964765462671602.8,,528930725351738.0,
16,8.0,966287533703376.8,,530862900709440.94,
17,8.5,967713364777176.0,,532668015775080.6,
18,9.0,969055369150114.8,,534239502623237.0,
